festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q23891324,Q23891324,festival,Q29,Spain,,,
Q23891325,Q23891325,festival,Q29,Spain,,,
Q21483881,"Festividad del Santo Ángel Tutelar, Ayora",festival,Q29,Spain,,,
Q23663145,Q23663145,festival,Q29,Spain,,,
Q23662699,Q23662699,festival,Q29,Spain,,,
Q23662631,International Folklore Festival of Soller,festival,Q29,Spain,,,
Q23663450,Q23663450,festival,Q29,Spain,,,
Q23662803,Falles de Xàtiva,festival,Q29,Spain,,,
Q23663308,"Cant de la Carxofa, Alaquàs",festival,Q29,Spain,,,
Q23663154,Q23663154,festival,Q29,Spain,,,
Q25509462,Q25509462,festival,Q29,Spain,,,
Q23662704,Q23662704,festival,Q29,Spain,,,
Q23898542,Q23898542,festival,Q29,Spain,,,
Q23894724,Festa Major de Sant Roc de La Cava,festival,Q29,Spain,,,
Q23662966,Fiesta de la Jira o del Último Jueves,festival,Q29,Spain,,,
Q21478863,Q21478863,festival,Q29,Spain,,,
Q23662866,Q23662866,festival,Q29,Spain,,,
Q24859892,Ground Forces Festival,festival,Q884,South Korea,2002-01-01T00:00:00Z,,
Q23891044,Q23891044,festival,Q29,Spain,,,
Q23663318,Q23663318,festival,Q29,Spain,,,
Q23662718,Q23662718,festival,Q29,Spain,,,
Q23663307,offerings to the Túria river,festival,Q29,Spain,,,
Q23844847,Q23844847,festival,Q29,Spain,,,
Q23663622,Q23663622,festival,Q29,Spain,,,
